prompt,model,BLEU,ROUGE-1,ROUGE-2,PINC
1,gemini,4.274286137024464,29.273807698927907,11.236230647144657,74.5012166449949
1,liquid,1.1373722936261366,10.525530565201851,2.3910512415974186,89.11988570199586
1,nvidia,5.475256187416069,34.67388359280764,14.1600261276871,72.86918843634199
2,gemini,4.690262435969117,30.960690882131736,12.123772320906955,76.26836578996665
2,liquid,0.9889560043789276,10.724342208898396,2.8188890826514417,88.55615977995117
2,nvidia,5.074727968608695,34.68946261904768,14.694984132699282,74.54895619107035
3,gemini,9.25839901278782,44.46806861526938,21.821699371490613,66.45187595964394
3,liquid,4.271034953539647,17.945484913494013,7.489802014040274,80.99427907227937
3,nvidia,10.349838822477754,53.12956328970343,28.509764009513212,64.08519195118
4,gemini,22.792414792860427,60.45487855242536,40.90576322313543,51.78762208647222
4,liquid,5.091431037448796,21.029339264242385,9.37923885558795,78.56899254492195
4,nvidia,20.41945276040944,54.011675063724475,34.58514454614248,49.20464325273894
