model,sign_train_fraction,experiment_id,task_b_macro_f1,task_b_accuracy,task_a_detection_rate
M1,0.0,EXP-SIGN-011,0.3562925147123503,0.3659942363112392,0.7962264150943397
M1,0.1,EXP-SIGN-025,0.44827332777643336,0.48876080691642654,0.7132075471698113
M1,0.25,EXP-SIGN-026,0.5243876302635962,0.5878962536023055,0.7283018867924528
M1,0.5,EXP-SIGN-027,0.5580595551410465,0.6322766570605187,0.7283018867924528
M1,0.75,EXP-SIGN-028,0.578486203175582,0.6593659942363113,0.7245283018867924
M1,1.0,EXP-SIGN-021,0.5861349342129303,0.6651296829971182,0.7471698113207547
M6,0.0,EXP-SIGN-016,0.47237524415701193,0.5325648414985591,0.6377358490566037
M6,0.1,EXP-SIGN-029,0.5972920696324951,0.6939481268011527,0.6679245283018868
M6,0.25,EXP-SIGN-030,0.6340588880452206,0.723342939481268,0.7509433962264151
M6,0.5,EXP-SIGN-031,0.6854185784908677,0.7740634005763689,0.7962264150943397
M6,0.75,EXP-SIGN-032,0.6484589163547949,0.7256484149855907,0.8415094339622642
M6,1.0,EXP-SIGN-023,0.6870127903629233,0.777521613832853,0.7849056603773585
